UNITID,Institution,City,State,Sector,Control,CohortYear,GRReportingYear,GR200ReportingYear,CohortType,AwardLevel,InitialCohort,Exclusions,AdjustedCohort,Completers100,Completers150,Completers200,TransferOut,GraduationRate100,GraduationRate150,GraduationRate200,TransferOutRate,PeerGroup,DisplayOrder,IsCaldwell,PeerGroupName
183974,Centenary University,Hackettstown,NJ,"Private nonprofit, 4-year or above",Private nonprofit,2017,2023,NA,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,222,18,204,NA,115,NA,58,NA,56.372549019607845,NA,28.431372549019606,Peer Institution,2,FALSE,Caldwell University Graduation Rate Peer Group
183974,Centenary University,Hackettstown,NJ,"Private nonprofit, 4-year or above",Private nonprofit,2018,2024,NA,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,224,1,223,NA,123,NA,63,NA,55.15695067264574,NA,28.251121076233183,Peer Institution,2,FALSE,Caldwell University Graduation Rate Peer Group
184348,Drew University,Madison,NJ,"Private nonprofit, 4-year or above",Private nonprofit,2009,2015,2017,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,505,0,505,317,339,342,NA,62.772277227722775,67.12871287128714,67.72277227722773,NA,Peer Institution,3,FALSE,Caldwell University Graduation Rate Peer Group
184348,Drew University,Madison,NJ,"Private nonprofit, 4-year or above",Private nonprofit,2010,2016,2018,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,495,1,494,280,302,309,NA,56.68016194331984,61.1336032388664,62.55060728744939,NA,Peer Institution,3,FALSE,Caldwell University Graduation Rate Peer Group
184348,Drew University,Madison,NJ,"Private nonprofit, 4-year or above",Private nonprofit,2011,2017,2019,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,454,0,454,266,281,282,NA,58.590308370044056,61.89427312775331,62.11453744493392,NA,Peer Institution,3,FALSE,Caldwell University Graduation Rate Peer Group
184348,Drew University,Madison,NJ,"Private nonprofit, 4-year or above",Private nonprofit,2012,2018,2020,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,362,1,361,204,223,224,NA,56.50969529085873,61.772853185595565,62.04986149584487,NA,Peer Institution,3,FALSE,Caldwell University Graduation Rate Peer Group
184348,Drew University,Madison,NJ,"Private nonprofit, 4-year or above",Private nonprofit,2013,2019,2021,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,399,0,399,262,277,277,NA,65.6641604010025,69.42355889724311,69.42355889724311,NA,Peer Institution,3,FALSE,Caldwell University Graduation Rate Peer Group
184348,Drew University,Madison,NJ,"Private nonprofit, 4-year or above",Private nonprofit,2014,2020,2022,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,302,1,301,192,207,211,NA,63.78737541528239,68.77076411960132,70.09966777408638,NA,Peer Institution,3,FALSE,Caldwell University Graduation Rate Peer Group
184348,Drew University,Madison,NJ,"Private nonprofit, 4-year or above",Private nonprofit,2015,2021,2023,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,356,0,356,242,263,265,NA,67.97752808988764,73.87640449438202,74.43820224719101,NA,Peer Institution,3,FALSE,Caldwell University Graduation Rate Peer Group
184348,Drew University,Madison,NJ,"Private nonprofit, 4-year or above",Private nonprofit,2016,2022,2024,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,350,0,350,244,258,261,NA,69.71428571428572,73.71428571428571,74.57142857142857,NA,Peer Institution,3,FALSE,Caldwell University Graduation Rate Peer Group
184348,Drew University,Madison,NJ,"Private nonprofit, 4-year or above",Private nonprofit,2017,2023,NA,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,370,0,370,NA,268,NA,NA,NA,72.43243243243244,NA,NA,Peer Institution,3,FALSE,Caldwell University Graduation Rate Peer Group
