"Year","UNITID","Institution","State","Control","InstitutionLevel","CarnegieClassification","TotalFTE","UndergraduateFTE","GraduateFTE","TwelveMonthHeadcount","TotalDegreesAwarded","TotalCompleters","BachelorsDegrees","MastersDegrees","DoctoralDegrees","InstructionExpenses","TotalCoreExpenses","TotalCoreRevenue","TuitionAndFeeRevenue","StudentServicesExpenses","AcademicSupportExpenses","InstitutionalSupportExpenses","ResearchExpenses","FullTimeInstructionalStaff","PartTimeInstructionalStaff","InstructionalStaffFTE","FullTimeStaff","PartTimeStaff","TotalStaffHeadcount","TotalStaffFTE","FinanceReportingStandard","FinanceParentChildStatus","DegreesPer100FTE","DegreesPerFullTimeInstructionalStaff","DegreesPerInstructionalStaffFTE","InstructionExpensesPerDegree","CoreExpensesPerDegree","InstructionExpensesPerFTE","StudentServicesExpensesPerFTE","AcademicSupportExpensesPerFTE","InstitutionalSupportExpensesPerFTE","CoreRevenuePerFTE","TuitionRevenuePerFTE","TuitionDependency","StaffHeadcountPer100FTE","StaffFTEPer100StudentFTE","InstructionShareOfCoreExpenses","StudentServicesShareOfCoreExpenses","AcademicSupportShareOfCoreExpenses","InstitutionalSupportShareOfCoreExpenses","OtherCoreExpenses","OtherCoreExpensesShare"
2015,186432,"Saint Peter's University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Larger Programs",2918,2358,498,3949,781,770,486,277,18,23567526,66759405,59974635,49139216,14571709,4648755,17820049,0,113,201,180,333,279,612,425,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",26.7649074708705,6.91150442477876,4.33888888888889,30176.0896286812,85479.3918053777,8076.60246744345,4993.73166552433,1593.1305688828,6106.93934201508,20553.3361891707,16840.0328992461,81.9333306488651,20.9732693625771,14.5647703906785,35.3021810185396,21.8272002274436,6.96344582459955,26.6929416162412,6151366,9.21423131317602
2016,186432,"Saint Peter's University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Larger Programs",2974,2382,532,3986,732,725,381,330,21,24807702,69011469,59988242,50107883,15144025,5133277,19727913,0,118,214,189,367,271,638,458,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",24.6133154001345,6.20338983050847,3.87301587301587,33890.3032786885,94277.9631147541,8341.52723604573,5092.14021519839,1726.05144586416,6633.46099529254,20170.8950907868,16848.6492938803,83.5295073324536,21.4525891055817,15.4001344989913,35.9472162518378,21.9442148087009,7.43829550998255,28.5864266995968,4198552,6.08384672988196
2017,186432,"Saint Peter's University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Larger Programs",3156,2536,534,4201,878,873,556,309,13,25064803,65742663,80108375,54320506,16534551,6128925,18014384,0,119,203,187,365,240,605,445,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",27.8200253485425,7.3781512605042,4.6951871657754,28547.6116173121,74877.7482915718,7941.95278833967,5239.08460076046,1941.99144486692,5707.97972116603,25382.8818124208,17211.8206590621,67.8087728030933,19.169835234474,14.1001267427123,38.1256277981925,25.1504126019355,9.32259923818419,27.4013603616878,0,0
2018,186432,"Saint Peter's University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Larger Programs",3218,2547,542,4094,838,829,476,345,17,26414539,65762967,77144242,55860493,16746339,6427920,16174169,0,112,223,186,359,258,617,444,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",26.0410192666252,7.48214285714286,4.50537634408602,31520.9295942721,78476.0942720764,8208.37134866377,5203.95866998135,1997.4891236793,5026.15568676196,23972.7290242387,17358.7610316967,72.4104502835092,19.1733996270976,13.7973896830329,40.1662823394206,25.4646950463777,9.77437651193566,24.594646102266,0,0
2019,186432,"Saint Peter's University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Larger Programs",3142,2538,456,3998,863,860,535,318,10,24027304,64770882,90128728,53923834,16430667,6702731,17610180,0,114,238,193,338,274,612,429,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",27.466581795035,7.57017543859649,4.47150259067358,27841.6037079954,75053.1657010429,7647.13685550605,5229.3656906429,2133.26893698281,5604.76766390834,28685.1457670274,17162.2641629535,59.8297958892752,19.4780394653087,13.653723742839,37.0958419247711,25.3673664656906,10.3483707385674,27.188420870971,0,0
2020,186432,"Saint Peter's University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Larger Programs",3011,2372,483,3788,807,803,518,269,20,24770323,64841373,64678393,53184658,15364044,6447651,18259355,0,109,187,171,295,215,510,367,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",26.8017270009963,7.40366972477064,4.71929824561404,30694.3283767038,80348.6654275093,8226.61009631352,5102.6383261375,2141.36532713384,6064.21620724012,21480.7017602126,17663.4533377615,82.2294054213747,16.9378943872468,12.1886416472933,38.2014165554452,23.6948159626416,9.94372990837193,28.1600375735412,0,0
2021,186432,"Saint Peter's University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Larger Programs",2863,2170,580,3890,846,845,550,264,32,21364794,59168590,74778737,47837176,13865904,5920678,18017214,0,104,181,164,295,215,510,367,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",29.549423681453,8.13461538461539,5.15853658536585,25253.8936170213,69939.231678487,7462.38002095704,4843.13796716731,2067.99790429619,6293.12399580859,26119.0139713587,16708.7586447782,63.9716287264921,17.8134823611596,12.8187216206776,36.1083372106721,23.4345689157034,10.0064544380726,30.4506394355519,0,0
2022,186432,"Saint Peter's University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Larger Programs",2704,2033,581,3613,845,843,511,273,61,21659264,74259033,68084285,44825520,20392375,6909628,19811252,0,106,220,179,323,255,578,408,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",31.25,7.97169811320755,4.72067039106145,25632.2650887574,87880.5124260355,8010.08284023669,7541.55880177515,2555.33579881657,7326.64644970414,25179.0994822485,16577.4852071006,65.8382767770859,21.3757396449704,15.0887573964497,29.1671775472756,27.4611372868268,9.30476431062602,26.6785752515792,5486514,7.38834560369242
2023,186432,"Saint Peter's University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Larger Programs",2992,1988,935,4448,950,945,510,408,32,22549484,76135975,78135281,52636707,19266115,10701256,23618120,0,105,238,184,335,275,610,426,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",31.7513368983957,9.04761904761905,5.16304347826087,23736.2989473684,80143.1315789474,7536.5922459893,6439.20955882353,3576.62299465241,7893.75668449198,26114.7329545455,17592.4822860963,67.3661197942067,20.3877005347594,14.2379679144385,29.6173838976909,25.3048772278808,14.0554527606693,31.0209726742187,1000,0.00131343954024362
2024,186432,"Saint Peter's University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Larger Programs",3290,2207,989,4961,1273,1272,451,777,45,24066662,83597109,89708660,55684862,20684547,11350281,27484004,0,103,240,183,317,269,586,406.66,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",38.693009118541,12.3592233009709,6.95628415300546,18905.4689709348,65669.3707776905,7315.09483282675,6287.09635258359,3449.93343465046,8353.80060790274,27267.0699088146,16925.4899696049,62.0730061066568,17.8115501519757,12.3604863221885,28.7888687633923,24.743136751296,13.5773606716472,32.8767397925208,11615,0.0138940211437216
2015,150534,"University of Evansville","IN","Private not-for-profit","Four or more years","Master's Colleges & Universities: Small Programs",2617,2445,54,2768,634,610,562,34,38,29065820,58380366,48512087,36652350,12824255,6082988,9533179,243677,169,98,202,464,117,581,502,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",24.2262132212457,3.75147928994083,3.13861386138614,45845.141955836,92082.596214511,11106.5418418036,4900.36492166603,2324.412686282,3642.78907145587,18537.2896446313,14005.4833779136,75.5530266096365,22.2009935040122,19.182269774551,49.7869780398431,21.9667259365931,10.4195783904472,16.3294265746809,630447,1.07989559366586
2016,150534,"University of Evansville","IN","Private not-for-profit","Four or more years","Master's Colleges & Universities: Small Programs",2526,2331,54,2729,554,543,478,31,45,27508844,57034080,43278301,34717528,14042921,5691939,9111683,174188,169,94,200,473,113,586,510,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",21.9319081551861,3.27810650887574,2.77,49654.9530685921,102949.602888087,10890.2787015044,5559.35114806017,2253.34085510689,3607.15874901029,17133.1357878068,13744.0728424386,80.2192489025852,23.1987331749802,20.1900237529691,48.2322919910341,24.6219821552307,9.97989097045135,15.975856891178,504505,0.884567612907932
2017,150534,"University of Evansville","IN","Private not-for-profit","Four or more years","Master's Colleges & Universities: Small Programs",2568,2341,79,2770,509,498,431,34,44,29157025,59063108,62536663,35781360,13939305,5910896,9396798,184343,173,92,204,475,116,591,515,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",19.8208722741433,2.94219653179191,2.49509803921569,57282.9567779961,116037.540275049,11353.9816978193,5428.07827102804,2301.7507788162,3659.18925233645,24352.2830996885,13933.5514018692,57.2166122775051,23.0140186915888,20.0545171339564,49.3658833531077,23.6006967327219,10.0077632216713,15.9097587617638,474741,0.803786011396488
2018,150534,"University of Evansville","IN","Private not-for-profit","Four or more years","Master's Colleges & Universities: Small Programs",2591,2299,136,3014,496,484,431,26,39,30001464,59353383,59428324,36342290,13754866,5680395,9269305,54073,173,93,204,464,119,583,504,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",19.1431879583173,2.86705202312139,2.43137254901961,60486.8225806452,119664.078629032,11579.1061366268,5308.70937861829,2192.35623311463,3577.50096487843,22936.4430721729,14026.356619066,61.1531464356962,22.5009648784253,19.4519490544191,50.5471844797794,23.1745273896182,9.57046542738768,15.6171468777104,593280,0.999572341141869
2019,150534,"University of Evansville","IN","Private not-for-profit","Four or more years","Master's Colleges & Universities: Small Programs",2342,2055,174,2593,544,531,463,40,41,29395550,58876217,54189567,35667101,13367490,5503638,9598739,53389,171,113,209,452,134,586,496,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",23.2280102476516,3.1812865497076,2.60287081339713,54035.9375,108228.340073529,12551.4730999146,5707.72416737831,2349.97352690009,4098.52220324509,23138.158411614,15229.3343296328,65.8191289847361,25.0213492741247,21.1784799316823,49.9277152946155,22.7043969214258,9.347811867736,16.303253655037,957411,1.62614218233485
2020,150534,"University of Evansville","IN","Private not-for-profit","Four or more years","Master's Colleges & Universities: Small Programs",2538,2117,280,2690,552,529,445,66,41,28554893,57649529,66690349,34950074,13252799,4930596,9236654,79804,165,121,205,441,141,582,488,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",21.7494089834515,3.34545454545455,2.69268292682927,51729.8786231884,104437.552536232,11250.9428684003,5221.74901497242,1942.70921985816,3639.34357762017,26276.7332545311,13770.7147360126,52.4064943789693,22.9314420803783,19.2277383766745,49.5318756203542,22.9885642257372,8.55270821033074,16.0220805967036,1594783,2.76634176837767
2021,150534,"University of Evansville","IN","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",2288,1877,265,2553,521,504,391,87,43,28359829,55593172,86224313,34057985,11542718,4204677,9576079,93107,149,117,188,409,131,540,452,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",22.770979020979,3.49664429530201,2.77127659574468,54433.452975048,106704.744721689,12395.0301573427,5044.89423076923,1837.70847902098,4185.34921328671,37685.451486014,14885.4829545455,39.4992825283514,23.6013986013986,19.7552447552448,51.0131513992402,20.7628339681715,7.56329752150138,17.2252790324682,1816762,3.26795887811546
2022,150534,"University of Evansville","IN","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",2001,1596,245,2399,540,528,420,77,43,26942002,59844749,48217688,31663263,13992098,4423440,11584966,110493,145,100,178,390,113,503,426,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",26.9865067466267,3.72413793103448,3.03370786516854,49892.5962962963,110823.609259259,13464.2688655672,6992.55272363818,2210.61469265367,5789.58820589705,24096.7956021989,15823.7196401799,65.6673190137196,25.1374312843578,21.2893553223388,45.0198262173345,23.3806611838242,7.39152569593031,19.3583667633062,2791750,4.66498739931218
2023,150534,"University of Evansville","IN","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",1967,1530,268,2442,500,494,382,72,46,28340874,59970507,40730231,30571522,14599778,4707228,11558654,110178,148,96,180,427,109,536,463,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",25.419420437214,3.37837837837838,2.77777777777778,56681.748,119941.014,14408.1718352822,7422.35790543976,2393.10015251652,5876.28571428571,20706.777325877,15542.2074224708,75.0585529455995,27.2496187086934,23.5383833248602,47.2580196795735,24.344930083716,7.84923829308296,19.273897417609,653795,1.09019421830134
2024,150534,"University of Evansville","IN","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",2059,1571,300,2495,495,483,331,100,64,29277092,65188473,68847667,30751727,16262068,4589589,11855217,117286,154,109,190.33,435,131,566,478.67,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",24.0407965031569,3.21428571428571,2.60074607261073,59145.6404040404,131693.884848485,14219.0830500243,7898.04176784847,2229.03788246722,5757.7547353084,33437.4293346285,14935.272948033,44.6663312498302,27.4890723652258,23.247693054881,44.9114554347668,24.9462324420454,7.04049165256563,18.1860633550965,3087221,4.73583880389406
2023,193399,"University of Mount Saint Vincent","NY","Private not-for-profit","Four or more years","Baccalaureate Colleges: Diverse Fields",3730,2892,838,4382,1091,1091,768,323,0,29000969,59749968,67312847,48318255,9830654,7826825,13091520,0,79,337,191,329,364,693,449,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",29.2493297587131,13.8101265822785,5.71204188481675,26582.006416132,54766.2401466544,7775.05871313673,2635.56407506702,2098.34450402145,3509.7908847185,18046.3396782842,12953.9557640751,71.7816243903634,18.5790884718499,12.0375335120643,48.5372126057038,16.4529862174989,13.0992957184513,21.910505458346,0,0
2024,193399,"University of Mount Saint Vincent","NY","Private not-for-profit","Four or more years","Baccalaureate Colleges: Diverse Fields",4512,3305,1207,5169,1122,1122,839,283,0,38113392,73238340,88333729,60472864,10647969,7106182,17370797,0,91,392,221.67,344,433,777,488.33,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",24.8670212765957,12.3296703296703,5.06157802138314,33969.1550802139,65274.8128342246,8447.1170212766,2359.92220744681,1574.95168439716,3849.91068262411,19577.5108599291,13402.6737588652,68.459539390667,17.2207446808511,10.8229166666667,52.0402182791145,14.5387907481245,9.70281685794626,23.7181741148147,0,0
2015,197197,"Wagner College","NY","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",1987,1692,279,2311,615,615,445,170,0,22149546,60697100,46517495,45763609,20920580,4329170,13297804,0,94,205,162,375,303,678,475,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",30.9511826874685,6.54255319148936,3.7962962962963,36015.5219512195,98694.4715447154,11147.2299949673,10528.7267237041,2178.7468545546,6692.40261701057,23410.9184700554,23031.5093105184,98.3793495329016,34.121791645697,23.9053850025164,36.4919345405299,34.4671821223749,7.1324165404937,21.9084667966015,0,0
2016,197197,"Wagner College","NY","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",2145,1843,286,2363,590,587,419,171,0,22822648,60716507,59569906,46476599,20859101,4228724,12806034,0,108,212,179,386,312,698,490,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",27.5058275058275,5.46296296296296,3.29608938547486,38682.4542372881,102909.333898305,10639.9291375291,9724.52261072261,1971.4331002331,5970.17902097902,27771.517948718,21667.4121212121,78.0202658033404,32.5407925407925,22.8438228438228,37.5888685427836,34.3549094482659,6.96470236668918,21.0915196422614,0,0
2017,197197,"Wagner College","NY","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",2004,1690,297,2369,618,611,417,190,11,23395508,62272683,68307571,50691979,21336169,4297418,13243588,0,109,209,179,381,319,700,487,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",30.8383233532934,5.6697247706422,3.45251396648045,37856.8090614887,100764.859223301,11674.4051896208,10646.7909181637,2144.42015968064,6608.57684630739,34085.6142714571,25295.3987025948,74.2113623100432,34.9301397205589,24.3013972055888,37.5694556150728,34.2624855267598,6.90096811791456,21.2670907402528,0,0
2018,197197,"Wagner College","NY","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",2303,1971,310,2487,657,657,449,199,9,23557800,63593831,63847997,50020283,21434108,4482053,14119870,0,106,200,173,370,306,676,472,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",28.5280069474598,6.19811320754717,3.79768786127168,35856.6210045662,96794.2633181126,10229.179331307,9307.03777681285,1946.18019973947,6131.07685627442,27723.8371689101,21719.6191923578,78.3427599146141,29.3530178028658,20.4950065132436,37.0441592046876,33.7046969225678,7.04793677235768,22.2032071003868,0,0
2019,197197,"Wagner College","NY","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",2168,1788,356,2399,622,620,436,174,12,23350202,61674172,64243411,52123111,21534940,3980012,12809018,0,113,203,181,384,313,697,489,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",28.690036900369,5.50442477876106,3.43646408839779,37540.5176848875,99154.617363344,10770.3883763838,9933.09040590406,1835.79889298893,5908.21863468635,29632.5696494465,24042.0253690037,81.1337850663004,32.1494464944649,22.5553505535055,37.860584492322,34.9172746088914,6.45328809602827,20.7688528027583,0,0
2020,197197,"Wagner College","NY","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",2213,1839,348,2315,574,574,384,182,8,21805984,56929217,68319383,50991855,18692481,3970102,12460650,0,133,213,204,411,333,744,520,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",25.9376412110258,4.31578947368421,2.81372549019608,37989.5191637631,99179.8205574913,9853.58517849074,8446.67013104383,1793.99096249435,5630.65973791234,30871.8404880253,23041.9588793493,74.6374641585976,33.6195210122006,23.4975146859467,38.3036780569106,32.8346005531747,6.97375128134996,21.8879701085648,0,0
2021,197197,"Wagner College","NY","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",2246,1559,281,2228,639,639,465,168,6,20401636,55523336,75161602,47113609,17359120,3438711,14323869,0,115,183,176,386,303,689,486,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",28.4505788067676,5.55652173913044,3.63068181818182,31927.4428794992,86890.9796557121,9083.54229741763,7728.90471950134,1531.03784505788,6377.5017809439,33464.6491540517,20976.6736420303,62.6830825133291,30.6767586821015,21.6384683882458,36.7442547040041,31.2645479371052,6.19327160025111,25.7979257586396,0,0
2022,197197,"Wagner College","NY","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",1733,1459,238,2188,537,537,381,149,7,20526618,60732939,42869038,44543143,19075508,3781822,17348991,0,120,189,183,402,321,723,510,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",30.9867282169648,4.475,2.9344262295082,38224.6145251397,113096.720670391,11844.5574148875,11007.217541835,2182.24004616272,10010.9584535488,24736.8944027698,25702.909982689,103.905161109517,41.7195614541258,29.4287362954414,33.7981634644752,31.4088340101572,6.22697017840681,28.5660323469608,0,0
2023,197197,"Wagner College","NY","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",1779,1482,233,2160,526,526,380,136,10,22293556,62289734,67516346,43608624,21779952,4034340,14181886,0,127,190,190,404,309,713,507,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",29.5671725688589,4.14173228346457,2.76842105263158,42383.1863117871,118421.547528517,12531.5098369871,12242.8060708263,2267.75716694772,7971.83024170883,37951.8527262507,24512.9983136594,64.5897276490644,40.0786958965711,28.4991568296796,35.7900966473865,34.9655562825168,6.4767333891649,22.7676136809318,0,0
2024,197197,"Wagner College","NY","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",1758,1499,198,2017,518,518,358,160,0,24863527,70249236,69907306,42425416,24111093,4235750,17038866,0,102,178,161.33,388,303,691,489,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",29.4653014789534,5.07843137254902,3.21081014070539,47999.0868725869,135616.285714286,14143.0756541524,13715.0699658703,2409.4141069397,9692.18771331058,39765.2480091013,24132.7736063709,60.6881003253079,39.3060295790671,27.8156996587031,35.3933059143875,34.3222138387384,6.02960294116224,24.2548773057119,0,0
2015,216807,"Westminster College","PA","Private not-for-profit","Four or more years","Baccalaureate Colleges: Arts & Sciences Focus",1436,1324,112,1450,292,292,283,9,0,13939837,31293045,25579927,16828136,7767386,4911518,4674304,0,92,94,123,265,173,438,322,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",20.3342618384401,3.17391304347826,2.3739837398374,47739.1678082192,107167.962328767,9707.4073816156,5409.04317548747,3420.27715877437,3255.08635097493,17813.319637883,11718.7576601671,65.7864895392391,30.5013927576602,22.4233983286908,44.5461187941282,24.8214451485945,15.695238350886,14.9371977063913,0,0
2016,216807,"Westminster College","PA","Private not-for-profit","Four or more years","Baccalaureate Colleges: Arts & Sciences Focus",1364,1277,87,1430,326,326,257,69,0,13569901,31876955,20568456,16210775,8353404,5024852,4928798,0,83,53,101,253,123,376,296,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",23.900293255132,3.92771084337349,3.22772277227723,41625.463190184,97782.0705521472,9948.607771261,6124.19648093842,3683.90909090909,3613.48826979472,15079.5131964809,11884.7324046921,78.8137670615626,27.5659824046921,21.7008797653959,42.5696274942196,26.2051503978344,15.7632747544425,15.4619473535035,0,0
2017,216807,"Westminster College","PA","Private not-for-profit","Four or more years","Baccalaureate Colleges: Arts & Sciences Focus",1282,1233,49,1442,301,301,247,54,0,13035309,31892737,34650568,15683750,8755227,4889805,5212396,0,90,45,105,265,112,377,302,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",23.4789391575663,3.34444444444444,2.86666666666667,43306.6744186046,105955.936877076,10167.9477379095,6829.35023400936,3814.20046801872,4065.83151326053,27028.5241809672,12233.8143525741,45.2626057962455,29.4071762870515,23.5569422776911,40.8723434429601,27.4521029662647,15.3320331208952,16.34352046988,0,0
2018,216807,"Westminster College","PA","Private not-for-profit","Four or more years","Baccalaureate Colleges: Arts & Sciences Focus",1305,1255,50,1329,248,246,235,13,0,13545293,32875551,34401602,15592875,9160755,5017307,5152196,0,89,51,106,267,117,384,306,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",19.0038314176245,2.78651685393258,2.33962264150943,54618.1169354839,132562.705645161,10379.5348659004,7019.73563218391,3844.67969348659,3948.04291187739,26361.3808429119,11948.5632183908,45.3260141780607,29.4252873563218,23.448275862069,41.201721607647,27.8649474194364,15.261514552258,15.6718164206586,0,0
2019,216807,"Westminster College","PA","Private not-for-profit","Four or more years","Baccalaureate Colleges: Arts & Sciences Focus",1323,1276,47,1366,264,264,253,11,0,12906515,33165614,31558918,14581690,9076848,5169221,6013030,0,81,48,97,230,101,331,262,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",19.9546485260771,3.25925925925926,2.72164948453608,48888.3143939394,125627.325757576,9755.49130763417,6860.80725623583,3907.19652305367,4544.99622071051,23854.0574452003,11021.6855631141,46.2046575868032,25.0188964474679,19.8034769463341,38.9153507002765,27.3682495370054,15.5860856367683,18.1303141259498,0,0
2020,216807,"Westminster College","PA","Private not-for-profit","Four or more years","Baccalaureate Colleges: Arts & Sciences Focus",1278,1222,56,1317,263,263,249,14,0,11797158,29280126,22511968,14164793,7772097,4730573,4980298,0,74,47,90,217,91,308,247,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",20.5790297339593,3.55405405405405,2.92222222222222,44856.1140684411,111331.27756654,9230.95305164319,6081.45305164319,3701.54381846635,3896.94679186228,17614.9984350548,11083.5625978091,62.9211670876576,24.1001564945227,19.3270735524257,40.2906667819667,26.5439329052068,16.1562590270274,17.0091412857991,0,0
2021,216807,"Westminster College","PA","Private not-for-profit","Four or more years","Baccalaureate Colleges: Arts & Sciences Focus",1268,1209,59,1337,265,263,228,37,0,11973015,29533239,58347536,13579136,7541117,4756495,5262612,0,72,57,91,224,108,332,260,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",20.8990536277603,3.68055555555556,2.91208791208791,45181.1886792453,111446.18490566,9442.44085173502,5947.25315457413,3751.17902208202,4150.32492113565,46015.4069400631,10709.0977917981,23.272852516,26.1829652996845,20.5047318611987,40.5408123369062,25.5343377676929,16.1055649873013,17.8192849080997,0,0
2022,216807,"Westminster College","PA","Private not-for-profit","Four or more years","Baccalaureate Colleges: Arts & Sciences Focus",1241,1175,66,1442,292,292,251,41,0,12253857,32555196,27006342,13148828,8801113,6375217,5125009,0,71,49,87,226,98,324,258,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",23.5294117647059,4.11267605633803,3.35632183908046,41965.2636986301,111490.397260274,9874.17969379533,7091.95245769541,5137.16116035455,4129.74133763094,21761.7582594682,10595.3489121676,48.6879267099558,26.1079774375504,20.7896857373086,37.6402495011856,27.0344340731354,19.5827940952959,15.7425223303831,0,0
2023,216807,"Westminster College","PA","Private not-for-profit","Four or more years","Baccalaureate Colleges: Arts & Sciences Focus",1254,1220,34,1232,207,206,184,23,0,12377331,32563889,29173907,13187136,9786746,5022865,5376947,0,70,50,87,232,105,337,267,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",16.5071770334928,2.95714285714286,2.37931034482759,59793.8695652174,157313.473429952,9870.27990430622,7804.42264752791,4005.47448165869,4287.836523126,23264.6786283892,10516.0574162679,45.2018168152795,26.8740031897927,21.2918660287081,38.0093759685767,30.0539840312071,15.424647221958,16.5119927782582,0,0
2024,216807,"Westminster College","PA","Private not-for-profit","Four or more years","Baccalaureate Colleges: Arts & Sciences Focus",1273,1240,33,1301,232,228,215,17,0,12932458,33615192,40482649,13396015,10165126,5142542,5375066,0,71,49,87.33,240,94,334,271.33,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",18.2246661429694,3.26760563380282,2.65658994618115,55743.3534482759,144893.068965517,10159.0400628437,7985.17360565593,4039.70306362922,4222.36135113904,31800.9811468971,10523.1853888452,33.0907569808488,26.2372348782404,21.3142183817753,38.4720634646383,30.2396785358239,15.298267521423,15.9899904781148,0,0
